0,pubid,applicants,title,fieldWords,funcWords,problemWords,techWords,similar
81,CN85104748A,朱荣辉,手表式遥控钥匙频谱密码电子锁,特别|频谱|电子锁|手表式|密码电子锁|记忆|金属|钥匙|遥控钥匙,用安全性|使用方便|便安全|安全好|安全性|保安全|高安全|方便安全性|成本低|方便全|方便高好|使用安全|保密安全|方便好|保密安全性|安全性好|方便高|方便易,,特别|电子锁|记忆|金属|钥匙,50.0
82,CN85102539A,陈鸿林,用于采贝特别是采蛏的船拖采贝机,特别|贝机|水产|捕捞|采蛏,控制均衡|调节均衡,,水产|捕捞,50.0
83,CN85100879A,中国科学院化学研究所,高稳定性多羟基硅油乳液及其制法,制法|硅油乳液|处理剂|纤维|脱膜剂|稳定性|多羟基,,,纤维|处理剂|脱膜剂,50.0
84,CN85100883A,中国科学院化学研究所,聚合物配体多相化了的铑催化剂及其制法,聚合物|多相|制法|铑配合物|配体|铑催化剂,增加性|增加活性,,铑配合物,50.0
85,CN85100984A,北京工业大学,一种测定电源扰动的方法,干扰|正弦|叠加|扰动|三相|测定|脉冲|电源|电压|电源频率,快速检|快准确|快速测|实时地|准确检|准确测|实时地传|实时快速|行准确|快速准确测|设备机|实时地测|快速检测|快速准确|实时准确,,干扰|正弦|叠加|扰动|三相|测定|脉冲|电源|电压|电源频率,50.0
86,CN85103037A,华中工学院$$葛洲坝水利发电厂,仿真状态量最优控制电力系统稳定器,最优控制|稳定器|低频振荡|仿真|抑制电力|电力系统,成本简单|本简单高|距离增加|较高等|远距离输|成本低|简单性|避免带|状态稳定|能力增加|较简单|抑制系统|成本性|成本低优|简单性高|可靠性|控制稳定|稳定系统|远距离送|现有成本|有成本低|体积小简单|体积小高|成本高少|成本优|体积小安装|技术简单|远距离输送|电稳定|远距离发电|体积小低|抑制动|体简单|远距离|简单高广|抑制电振荡|稳定电力|小成本高|现有成本高|安装简单|体积小|成本低简单|电力稳定|系统稳定|体积成本|成本高|系统抑制|成本低高|成本低等|避免时|较简单高|成简单|距增加|成本低安装|低简单|稳定低|力稳定|简单高|小成本低|简单高少|避免量,,低频振荡|抑制电力,50.0
87,CN85104898A,西安交通大学,外圆磨削在线测量光纤量仪,机床|测量光纤|工作|工人|在线|外圆磨削|量仪|仪器|机械加工|停止|手工工具|精密测量|工件,可靠性强|仪器简单|器结构简单|得结构简单|成本低|结构简单|构简单|可靠性,,机床|工作|工人|机械加工|仪器|停止|手工工具|精密测量|工件,50.0
88,CN85102946A,上海水产学院,双向螺杆三滚子式自动排缆器,自动排缆|滚子式|船舶甲板|螺杆|双向,,,船舶甲板|绞缆机,50.0
89,CN85102421A,徐鸿章,双向高效保温瓶,保温瓶胆|保温|沸水|轻工业部|高效|保温瓶|日用品|双向|注入|倒置|轻工|24小时|测温,提高倍|提高时|提高水|提高准|高效用|提高标准|高效改进|提高小,,保温瓶胆|保温|沸水|轻工业部|日用品|注入|倒置|轻工|24小时|测温,50.0
90,CN85102929A,施国梁,第二代热管,第二代|热管,,,第二代|热管,50.0
91,CN85103872A,徐永和,内燃锅炉,内燃|热工|锅炉|生产蒸汽,蒸高效,,热工|生产蒸汽,50.0
92,CN85102537A,于乃旬$$陆耀桢,能够场外显示的围棋棋具,日用|体育用品|用品|棋具|棋类|竞赛|显示|围棋,明显示,,体育用品|用品|日用|竞赛|棋类,50.0
